timestamp,load_kwh,solar_kwh,temp_c,price_usd_per_kwh,net_load_kwh,hour,dow,month
2024-01-01 00:00:00,12.477,0.051,4.71,0.1032,12.426,0,0,1
2024-01-01 01:00:00,14.297,0.0,2.47,0.1026,14.297,1,0,1
2024-01-01 02:00:00,14.373,0.0,3.9,0.0964,14.373,2,0,1
2024-01-01 03:00:00,14.78,0.0,3.35,0.1005,14.78,3,0,1
2024-01-01 04:00:00,15.008,0.043,-0.9,0.0926,14.965,4,0,1
2024-01-01 05:00:00,15.976,0.0,-0.84,0.0925,15.976,5,0,1
2024-01-01 06:00:00,14.595,0.019,0.25,0.1171,14.576,6,0,1
2024-01-01 07:00:00,17.959,0.273,-0.76,0.1488,17.686,7,0,1
2024-01-01 08:00:00,20.228,0.398,-0.7,0.1344,19.830000000000002,8,0,1
2024-01-01 09:00:00,20.672,0.419,-1.8,0.125,20.253,9,0,1
2024-01-01 10:00:00,19.505,0.523,0.38,0.123,18.982,10,0,1
2024-01-01 11:00:00,20.619,0.623,0.56,0.1337,19.996,11,0,1
2024-01-01 12:00:00,20.901,0.854,0.18,0.1411,20.047,12,0,1
2024-01-01 13:00:00,19.841,0.71,2.07,0.1412,19.131,13,0,1
2024-01-01 14:00:00,19.362,0.477,2.01,0.1415,18.884999999999998,14,0,1
2024-01-01 15:00:00,19.166,0.473,1.19,0.1433,18.693,15,0,1
2024-01-01 16:00:00,18.589,0.316,3.44,0.2496,18.273,16,0,1
2024-01-01 17:00:00,18.959,0.159,2.57,0.2751,18.8,17,0,1
2024-01-01 18:00:00,16.209,0.038,5.4,0.258,16.171,18,0,1
2024-01-01 19:00:00,13.774,0.044,4.76,0.2629,13.729999999999999,19,0,1
2024-01-01 20:00:00,14.568,0.261,4.9,0.2534,14.307,20,0,1
2024-01-01 21:00:00,14.978,0.0,4.4,0.2631,14.978,21,0,1
2024-01-01 22:00:00,11.449,0.323,6.59,0.1608,11.126,22,0,1
2024-01-01 23:00:00,12.76,0.0,4.63,0.0901,12.76,23,0,1
2024-01-02 00:00:00,13.522,0.039,3.87,0.0888,13.483,0,1,1
2024-01-02 01:00:00,13.828,0.0,3.34,0.0914,13.828,1,1,1
2024-01-02 02:00:00,12.778,0.031,3.67,0.0967,12.747,2,1,1
2024-01-02 03:00:00,15.329,0.098,2.7,0.0948,15.231,3,1,1
2024-01-02 04:00:00,14.712,0.003,1.98,0.0896,14.709,4,1,1
2024-01-02 05:00:00,15.411,0.097,1.28,0.0995,15.314,5,1,1
2024-01-02 06:00:00,15.783,0.0,2.71,0.1156,15.783,6,1,1
2024-01-02 07:00:00,16.426,0.002,-0.83,0.1385,16.424,7,1,1
2024-01-02 08:00:00,19.681,0.298,-1.25,0.139,19.383000000000003,8,1,1
2024-01-02 09:00:00,19.338,0.33,-1.72,0.1434,19.008000000000003,9,1,1
2024-01-02 10:00:00,19.402,0.511,0.1,0.1465,18.891000000000002,10,1,1
2024-01-02 11:00:00,18.048,0.619,1.02,0.1537,17.429,11,1,1
2024-01-02 12:00:00,20.637,0.676,0.0,0.1424,19.961000000000002,12,1,1
2024-01-02 13:00:00,20.645,0.702,-0.25,0.14,19.942999999999998,13,1,1
2024-01-02 14:00:00,19.682,0.498,0.49,0.1301,19.183999999999997,14,1,1
2024-01-02 15:00:00,18.255,0.711,3.04,0.1474,17.544,15,1,1
2024-01-02 16:00:00,18.292,0.42,3.93,0.2516,17.872,16,1,1
2024-01-02 17:00:00,16.293,0.262,4.41,0.2512,16.031,17,1,1
2024-01-02 18:00:00,17.614,0.016,3.58,0.2619,17.598000000000003,18,1,1
2024-01-02 19:00:00,14.389,0.026,5.14,0.2754,14.363,19,1,1
2024-01-02 20:00:00,11.996,0.0,5.3,0.2673,11.996,20,1,1
2024-01-02 21:00:00,13.525,0.0,5.52,0.2596,13.525,21,1,1
2024-01-02 22:00:00,10.939,0.087,6.2,0.1302,10.852,22,1,1
2024-01-02 23:00:00,12.582,0.0,5.13,0.1152,12.582,23,1,1
2024-01-03 00:00:00,11.489,0.037,5.24,0.0994,11.452,0,2,1
2024-01-03 01:00:00,14.258,0.0,3.88,0.0971,14.258,1,2,1
2024-01-03 02:00:00,12.421,0.137,3.42,0.1056,12.283999999999999,2,2,1
2024-01-03 03:00:00,12.287,0.0,3.06,0.0955,12.287,3,2,1
2024-01-03 04:00:00,15.803,0.109,-0.23,0.0925,15.694,4,2,1
2024-01-03 05:00:00,15.171,0.0,0.42,0.0934,15.171,5,2,1
2024-01-03 06:00:00,15.028,0.0,-0.39,0.0934,15.028,6,2,1
2024-01-03 07:00:00,17.349,0.344,-1.07,0.1287,17.005,7,2,1
2024-01-03 08:00:00,17.964,0.205,-0.93,0.1276,17.759,8,2,1
2024-01-03 09:00:00,17.826,0.357,1.09,0.1497,17.469,9,2,1
2024-01-03 10:00:00,20.122,0.615,-1.64,0.1467,19.507,10,2,1
2024-01-03 11:00:00,19.972,0.643,0.86,0.1318,19.329,11,2,1
2024-01-03 12:00:00,22.18,0.664,-1.84,0.1489,21.516,12,2,1
2024-01-03 13:00:00,20.803,0.519,0.4,0.1431,20.284000000000002,13,2,1
2024-01-03 14:00:00,19.046,0.601,1.72,0.1368,18.445,14,2,1
2024-01-03 15:00:00,16.416,0.499,3.0,0.1277,15.917,15,2,1
2024-01-03 16:00:00,17.994,0.447,3.93,0.2634,17.547,16,2,1
2024-01-03 17:00:00,18.174,0.127,4.75,0.2787,18.047,17,2,1
2024-01-03 18:00:00,18.186,0.055,4.0,0.2601,18.131,18,2,1
2024-01-03 19:00:00,14.675,0.087,4.34,0.27,14.588000000000001,19,2,1
2024-01-03 20:00:00,11.912,0.215,6.23,0.2579,11.697000000000001,20,2,1
2024-01-03 21:00:00,12.827,0.0,5.07,0.2692,12.827,21,2,1
2024-01-03 22:00:00,15.347,0.0,3.67,0.1385,15.347,22,2,1
2024-01-03 23:00:00,12.496,0.0,3.54,0.0759,12.496,23,2,1
2024-01-04 00:00:00,12.626,0.083,3.36,0.0928,12.543,0,3,1
2024-01-04 01:00:00,13.531,0.0,4.44,0.1013,13.531,1,3,1
2024-01-04 02:00:00,13.081,0.031,3.29,0.1108,13.049999999999999,2,3,1
